bas10,model_use,gen_aquifer,bfi,ppt81_10,recharge,strmden,sand,relief,slopeave,wtdepave,rockdepave,hga,weg,sb_idw_c,be_idw_c,bi_idw_c,as_idw_c2,mo_idw_a,percent_ti,ivr,sls,lc11,lc82,Cv,D,D3,DSe,De_geo,M,Oe,Pzg1,Pzg2,Pzmi,Q,Qp,S3,Se,Tm,Tmc,Tp,Tpc,Tpv,Tr,uK3
0,c,sg,35,5.153937,7,0.063672,63.858101,1378,2.144999,4.065,59,12,4.040999,0.674,1.58342,0.11421,6.923719,0.941955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,13,9.69685,2,0,54.989101,861,21.0305,6,24.958999,6,6.102,0.562658,1.75897,0.100241,3.321419,0.723318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,unk,16,7.929527,3,0,38.749001,1271,2.825,6,60,0,3,0.262023,2.200979,0.148414,3.87472,0.873392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,26,17.401968,15,0,49.030499,265,24.889999,5.977499,50.279998,68,3.64,0.680175,1.255849,0.099661,4.22659,0.995742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,26,17.759449,17,0,49.030499,265,24.889999,5.977499,50.279998,68,3.64,0.680175,1.255849,0.099661,4.22659,0.995742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,29,18.794881,33,0.055948,45.551498,365,24.889999,5.977499,50.279998,68,3.64,0.680175,1.255849,0.099661,4.22659,0.995742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,carb,52,47.089763,189,0.10793,16.049999,233,10.922499,5.5205,53.638999,0,7.394,0.720488,1.707929,0.214759,7.068719,0.952039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,semis,36,17.83307,7,0.068058,29.810301,427,31.184999,6,23.229999,0,6.449999,0.565998,1.60652,0.176494,3.726119,0.96504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,c,sg,60,19.245275,19,0.066872,31.485701,539,4.324999,5.599999,60,10,4.25,0.637358,2.08959,0.345981,3.51445,1.14496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,53,18.989763,11,0.053491,36.331699,488,24.810499,6,32.368499,0,4.105,0.636684,2.058729,0.335415,3.569469,1.139209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,54,19.445669,13,0.08327,31.485701,539,24.810499,6,32.368499,0,4.105,0.636684,2.058729,0.335415,3.569469,1.139209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,41,18.612991,9,0.011201,36.331699,488,31.184999,6,23.229999,0,6.449999,0.626798,1.874019,0.274453,3.794909,1.09858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,35,18.130708,7,0.009692,29.810301,427,31.184999,6,23.229999,0,6.449999,0.602478,1.66969,0.204534,3.91861,1.03749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,38,18.270078,8,0.039464,30.6098,426,24.810499,6,32.368499,0,4.105,0.626798,1.874019,0.274453,3.794909,1.09858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,53,19.979921,13,0.05234,36.331699,488,24.810499,6,32.368499,0,4.105,0.636684,2.058729,0.335415,3.569469,1.139209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,54,20.132677,16,0.08394,46.409,914,24.810499,6,32.368499,0,4.105,0.636684,2.058729,0.335415,3.569469,1.139209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,37,19.237401,8,0.079892,29.810301,427,24.810499,6,32.368499,0,4.105,0.626798,1.874019,0.274453,3.794909,1.09858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,semis,67,10.262205,14,0.159377,54.276699,671,6.934999,6,56.744998,0,3.72,0.407999,1.317309,0.114381,4.427929,0.691581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sdst,43,8.403149,8,0.115247,57.9813,995,9,6,12,0,5,0.370034,0.943991,0.098401,5.06512,0.737595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sdst,48,8.355905,9,0.137407,57.9813,995,9,6,12,0,5,0.370034,0.943991,0.098401,5.06512,0.737595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
