date,city,precipitation
2020-01-31,STL,0.0
2020-02-01,STL,0.0
2020-02-02,STL,0.0
2020-02-03,STL,0.0
2020-02-04,STL,0.13
2020-02-05,STL,0.23
2020-02-06,STL,0.0
2020-02-07,STL,0.05
2020-02-08,STL,0.0
2020-02-09,STL,0.53
2020-02-10,STL,0.05
2020-02-11,STL,0.0
2020-02-12,STL,0.43
2020-02-13,STL,0.02
2020-02-14,STL,0.0
2020-02-15,STL,0.0
2020-02-16,STL,0.0
2020-02-17,STL,0.12
2020-02-18,STL,0.0
2020-02-19,STL,0.0
2020-02-20,STL,0.0
2020-02-21,STL,0.0
2020-02-22,STL,0.0
2020-02-23,STL,0.0
2020-02-24,STL,0.76
2020-02-25,STL,0.17
2020-02-26,STL,0.18
2020-02-27,STL,0.0
2020-02-28,STL,0.0
2020-02-29,STL,0.0
2020-03-01,STL,0.02
2020-03-02,STL,0.07
2020-03-03,STL,0.0
2020-03-04,STL,0.0
2020-03-05,STL,0.0
2020-03-06,STL,0.0
2020-03-07,STL,0.0
2020-03-08,STL,0.0
2020-03-09,STL,0.41
2020-03-10,STL,0.04
2020-03-11,STL,0.0
2020-03-12,STL,0.97
2020-03-13,STL,0.0
2020-03-14,STL,0.48
2020-03-15,STL,0.0
2020-03-16,STL,0.03
2020-03-17,STL,0.0
2020-03-18,STL,0.28
2020-03-19,STL,0.87
2020-03-20,STL,0.0
2020-03-21,STL,0.0
2020-03-22,STL,0.16
2020-03-23,STL,0.0
2020-03-24,STL,0.1
2020-03-25,STL,0.0
2020-03-26,STL,0.0
2020-03-27,STL,0.36
2020-03-28,STL,0.06
2020-03-29,STL,0.0
2020-03-30,STL,0.0
2020-03-31,STL,0.0
2020-04-01,STL,0.0
2020-04-02,STL,0.01
2020-04-03,STL,0.0
2020-04-04,STL,0.09
2020-04-05,STL,0.0
2020-04-06,STL,0.0
2020-04-07,STL,0.0
2020-04-08,STL,0.0
2020-04-09,STL,0.0
2020-04-10,STL,0.0
2020-04-11,STL,0.0
2020-04-12,STL,0.53
2020-04-13,STL,0.01
2020-04-14,STL,0.0
2020-04-15,STL,0.0
2020-04-16,STL,0.0
2020-04-17,STL,0.24
2020-04-18,STL,0.0
2020-04-19,STL,0.0
2020-04-20,STL,0.0
2020-04-21,STL,0.0
2020-04-22,STL,0.07
2020-04-23,STL,0.6
2020-04-24,STL,0.69
2020-04-25,STL,0.91
2020-04-26,STL,0.0
2020-04-27,STL,0.0
2020-04-28,STL,1.55
2020-04-29,STL,0.32
2020-04-30,STL,0.0
2020-05-01,STL,0.0
2020-05-02,STL,0.0
2020-05-03,STL,0.0
2020-05-04,STL,0.54
2020-05-05,STL,0.27
2020-05-06,STL,0.02
2020-05-07,STL,0.07
2020-05-08,STL,0.35
2020-05-09,STL,0.0
2020-05-10,STL,0.0
2020-05-11,STL,0.0
2020-05-12,STL,0.0
2020-05-13,STL,0.03
2020-05-14,STL,0.21
2020-05-15,STL,0.5
2020-05-16,STL,0.47
2020-05-17,STL,1.44
2020-05-18,STL,0.0
2020-05-19,STL,0.05
2020-05-20,STL,0.04
2020-05-21,STL,0.0
2020-05-22,STL,0.0
2020-05-23,STL,0.0
2020-05-24,STL,0.18
2020-05-25,STL,0.47
2020-05-26,STL,0.0
2020-05-27,STL,0.69
2020-05-28,STL,0.0
2020-05-29,STL,0.14
2020-05-30,STL,0.0
2020-05-31,STL,0.0
2020-06-01,STL,0.0
2020-06-02,STL,0.0
2020-06-03,STL,0.08
2020-06-04,STL,0.1
2020-06-05,STL,0.0
2020-06-06,STL,0.0
2020-06-07,STL,0.0
2020-06-08,STL,0.0
2020-06-09,STL,0.15
2020-06-10,STL,0.0
2020-06-11,STL,0.0
2020-06-12,STL,0.0
2020-06-13,STL,0.0
2020-06-14,STL,0.0
2020-06-15,STL,0.0
2020-06-16,STL,0.0
2020-06-17,STL,0.0
2020-06-18,STL,0.0
2020-06-19,STL,0.0
2020-06-20,STL,0.02
2020-06-21,STL,0.78
2020-06-22,STL,0.38
2020-06-23,STL,0.0
2020-06-24,STL,0.0
2020-06-25,STL,0.0
2020-06-26,STL,0.0
2020-06-27,STL,0.02
2020-06-28,STL,0.14
2020-06-29,STL,0.0
2020-06-30,STL,1.04
2020-07-01,STL,0.1
2020-07-02,STL,0.0
2020-07-03,STL,0.0
2020-07-04,STL,0.0
2020-07-05,STL,0.0
2020-07-06,STL,0.0
2020-07-07,STL,0.07
2020-07-08,STL,0.0
2020-07-09,STL,0.0
2020-07-10,STL,0.0
2020-07-11,STL,0.0
2020-07-12,STL,0.0
2020-07-13,STL,0.0
2020-07-14,STL,0.0
2020-07-15,STL,1.34
2020-07-16,STL,0.0
2020-07-17,STL,0.6
2020-07-18,STL,0.0
2020-07-19,STL,0.93
2020-07-20,STL,0.01
2020-07-21,STL,0.44
2020-07-22,STL,0.0
2020-07-23,STL,0.0
2020-07-24,STL,0.0
2020-07-25,STL,0.0
2020-07-26,STL,0.0
2020-07-27,STL,0.29
2020-07-28,STL,0.0
2020-07-29,STL,1.77
2020-07-30,STL,2.34
2020-07-31,STL,1.18
2020-08-01,STL,0.08
2020-08-02,STL,0.0
2020-08-03,STL,0.02
2020-08-04,STL,0.0
2020-08-05,STL,0.0
2020-08-06,STL,0.0
2020-08-07,STL,0.0
2020-08-08,STL,1.79
2020-08-09,STL,2.03
2020-08-10,STL,0.75
2020-08-11,STL,0.0
2020-08-12,STL,0.03
2020-08-13,STL,0.0
2020-08-14,STL,0.0
2020-08-15,STL,0.01
2020-08-16,STL,0.0
2020-08-17,STL,0.0
2020-08-18,STL,0.0
2020-08-19,STL,0.0
2020-08-20,STL,0.0
2020-08-21,STL,0.0
2020-08-22,STL,0.0
2020-08-23,STL,0.0
2020-08-24,STL,0.0
2020-08-25,STL,0.0
2020-08-26,STL,0.0
2020-08-27,STL,0.0
2020-08-28,STL,0.0
2020-08-29,STL,0.0
2020-08-30,STL,0.0
2020-08-31,STL,0.0
2020-09-01,STL,0.44
2020-09-02,STL,0.0
2020-09-03,STL,0.02
2020-09-04,STL,0.0
2020-09-05,STL,0.0
2020-09-06,STL,0.0
2020-09-07,STL,0.0
2020-09-08,STL,0.02
2020-09-09,STL,0.0
2020-09-10,STL,0.0
2020-09-11,STL,0.0
2020-09-12,STL,0.02
2020-09-13,STL,0.0
2020-09-14,STL,0.0
2020-09-15,STL,0.0
2020-09-16,STL,0.0
2020-09-17,STL,0.0
2020-09-18,STL,0.0
2020-09-19,STL,0.0
2020-09-20,STL,0.0
2020-09-21,STL,0.0
2020-09-22,STL,0.0
2020-09-23,STL,0.0
