"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"
4030	16970	0	2211	766255.2233	4334271.821	3	0	16	39.63550318	1	0.941176471	12.119503	109.445236	68.09319	0	0	0.944444444	11.4528017	212.9206168	128.76894	0	0	0.948113208	10.90135875	465.5466309	274.816152	0	0	0.936482085	11.13743613	697.397815	414.034956	0.332694	1	1	0.13635	68.09319	128.76894	274.816152	414.36765
4031	16971	0	2211	766258.0586	4334270.686	3	0	15	42.68768474	1	0.988764045	11.82883546	110.113214	67.918662	0	0	0.950819672	11.06414482	204.9763301	122.180508	0	0	0.945238095	10.92844693	462.0153938	273.578094	0	0	0.932659933	11.13219659	674.4425334	400.803552	0.13635	1	1	0.13635	67.918662	122.180508	273.578094	400.939902
4032	16972	0	2211	766259.8286	4334276.035	3	0	16	42.90342835	1	0.90625	10.83445507	104.044826	61.461126	0	0	0.914414414	10.87583485	242.7135679	143.216586	0	0	0.929078014	10.87767793	463.3936083	272.978154	0	0	0.930693069	11.1127951	686.9013235	407.490156	0.13635	1	1	0.13635	61.461126	143.216586	272.978154	407.626506
4033	16973	0	2211	766258.1592	4334278.951	3	0	11	40.72534105	1	0.91588785	11.05043662	120.2643278	71.261964	0	0	0.915966387	10.93064461	262.7756613	155.089944	0	0	0.933649289	11.00376928	470.9116093	278.683038	0	0	0.934713376	11.08506176	707.9024969	419.532588	0.332694	1	1	0.13635	71.261964	155.089944	278.683038	419.865282
4034	16974	0	2211	766262.9618	4334276.551	3	0	7	45.8688263	1	0.929292929	10.7524956	106.0122712	62.426484	0	0	0.927419355	10.68198665	263.4263037	154.337292	0	0	0.921296296	10.88885346	474.4470417	279.359334	0	0	0.93	11.08497482	678.4139502	402.101604	0	0	1	0.13635	62.426484	154.337292	279.359334	402.101604
4035	17012	0	2211	766133.5419	4334333.161	3	0	8	10.62013514	1	0.840425532	14.16248873	154.6082533	100.642662	0.70902	1	0.877906977	13.92903313	274.5920934	176.715054	2.203416	1	0.880952381	14.10888394	552.1254702	358.27326	2.64519	1	0.890946502	14.35757203	820.5194167	538.533414	3.086964	1	2	0.70902	101.351682	178.91847	360.91845	541.620378
4036	17013	0	2211	766141.6857	4334340.968	3	0	11	0.579053892	1	0.896907216	13.43146512	146.6162437	92.488932	1.150794	1	0.875706215	14.16185509	290.7527461	188.141184	2.203416	1	0.913043478	13.53309066	533.2387221	338.617044	2.64519	1	0.902892562	13.69589011	764.5665995	489.016548	2.64519	1	2	0.70902	93.639726	190.3446	341.262234	491.661738
4040	17017	0	2216	766161.8608	4334334.54	3	0	17	18.10165139	1	0.876712329	13.96571144	121.0927564	77.654052	0	0	0.863013699	13.67479433	225.0490866	142.78572	2.64519	1	0.881632653	14.1135562	401.9332391	259.648578	2.64519	1	0.882978723	14.23233851	629.6267625	408.760938	2.64519	1	1	0.441774	77.654052	145.43091	262.293768	411.406128
4041	17018	0	2216	766160.9717	4334333.538	3	0	16	17.82710914	1	0.864197531	13.98688355	131.487259	84.29157	1.052622	1	0.841059603	13.70577527	234.1157607	148.556052	2.64519	1	0.870445344	14.32144317	414.2893451	269.59122	2.64519	1	0.879679144	14.27705289	629.3711286	409.109994	2.64519	1	3	1.494396	85.344192	151.201242	272.23641	411.755184
4042	17019	0	2216	766156.0006	4334331.112	3	0	10	12.63474995	1	0.848484848	14.05515451	159.5200228	102.355218	1.761642	1	0.843373494	13.84083632	262.3971036	167.170554	2.64519	1	0.866666667	14.49109961	436.7033677	285.178752	2.64519	1	0.880434783	14.52051321	634.8755366	416.282004	2.64519	1	3	1.494396	104.11686	169.815744	287.823942	418.927194
