"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"
95	13145	0	2113	766228.3328	4333829.899	1	1	36	0.454545455	19.95221564	30.1922109787852	23.883066	0.733333333	16.18332475	57.8321532964743	42.852078	0.75	16.32789025	117.611590868925	87.242184	0.796460177	15.51134327	207.580012028348	148.283352
98	13148	0	2113	766232.5824	4333841.038	1	0	5	0.774193548	13.6121388	44.3330395914032	31.327776	0.75	12.68365089	61.6709573396329	42.115788	0.798076923	15.03713352	180.223516983187	128.256264	0.80952381	15.13566766	260.842881867594	183.668904
100	13150	0	2118	766228.3947	4333851.232	1	0	9	0.823529412	13.48746695	49.7305308725807	33.73299	0.806451613	14.60280574	102.675289298955	72.107334	0.833333333	14.99327335	198.926773651039	139.769658	0.835365854	15.39777463	302.886898274532	212.067882
101	13151	0	2118	766228.6209	4333853.236	1	0	5	0.820512821	13.75984496	59.1883451114045	40.272336	0.842857143	15	122.059900356871	85.9005	0.834782609	14.86080342	197.614243574745	138.515238	0.838323353	15.32228622	305.867308724926	213.834978
102	13152	0	2118	766228.1415	4333854.01	1	0	5	0.820512821	13.75984496	59.1883451114045	40.272336	0.845070423	15.02204952	124.252464075769	87.383988	0.845454545	14.67031635	185.432385577791	129.117996	0.837349398	15.3650362	306.103606253364	213.74226
103	13153	0	2118	766234.0677	4333850.031	1	0	7	0.815789474	11.26358828	41.2750982427501	26.293734	0.805970149	14.18481425	104.902067244923	73.525374	0.806722689	14.35972425	193.652635027068	133.830252	0.789808917	15.21983285	280.851177961055	198.351072
104	13154	0	2118	766234.4279	4333850.126	1	0	9	0.810810811	11.31848524	40.4306768492866	25.85196	0.808823529	14.09317732	105.230802934974	73.661724	0.808333333	14.33498053	194.817928354566	134.490186	0.79245283	15.18398693	283.540099763149	199.932732
105	13155	0	2112	766206.9777	4333831.061	1	0	21	0.733333333	22.97099621	55.0253973307536	43.16841	0.84375	19.11887157	84.7149445991026	63.795438	0.872727273	17.39174308	123.741790628059	90.732744	0.882978723	16.39635403	192.766418177629	137.828034
107	13157	0	2109	766209.9836	4333813.637	1	1	25	0.857142857	21.89259496	23.5605163248454	18.29817	0.818181818	23.26136086	40.6493671718078	32.462208	0.8125	19.48637344	87.2327743670989	66.271554	0.829787234	17.67797042	108.447444212028	80.108352
108	13158	0	2112	766208.8867	4333815.023	1	1	28	0.875	22.44716018	28.1953294002291	21.985074	0.769230769	21.55672303	41.677074299128	32.947614	0.8125	19.48637344	87.2327743670989	66.271554	0.833333333	17.50773639	108.77617990208	80.244702
