TreeNum	RecordNum	Response	Elevation	Easting	Northing	ElevCat	IndEdge15M	IndDBHIn	DeadDist	DeadDistInd	PropJP25	NeighQMD25	NeighSDIAlt25	NeighBSA25	BSADead25	BSADeadInd25	PropJP5	NeighQMD5	NeighSDIAlt5	NeighBSA5	BSADead5	BSADeadInd5	PropJP1	NeighQMD1	NeighSDIAlt1	NeighBSA1	BSADead1	BSADeadInd1	PropJP15	NeighQMD15	NeighSDIAlt15	NeighBSA15	BSADead15	BSADeadInd15	TreesPClus	BAPClus	NeighBSA9125	NeighBSA915	NeighBSA911	NeighBSA9115	BSADead25NEW	BSADeadInd25NEW	BSADead5NEW	BSADeadInd5NEW	BSADead1NEW	BSADeadInd1NEW	BSADead15NEW	BSADeadInd15NEW
65	13115	0	2114	766270.4316	4333841.869	1	1	11	67.5031977	0	0.7	12.523977	52.14891513	34.218396	0	0	0.732394366	11.80594264	84.55596935	53.972784	0	0	0.700854701	11.1178612	124.4756934	78.875748	0	0	0.711409396	11.33119469	161.9152628	104.340474	0	0	9	13.378662	34.218396	53.972784	78.875748	104.340474	0	0	0	0	0	0	0	0
71	13121	0	2119	766265.2302	4333847.434	1	0	8	59.99727296	0	0.735849057	12.02513092	64.48142771	41.799456	0	0	0.735632184	10.88814604	90.23836956	56.252556	0	0	0.701612903	10.9754124	129.1955204	81.466398	0	0	0.703225806	11.84823384	180.7340168	118.673586	0	0	9	13.378662	41.799456	56.252556	81.466398	118.673586	0	0	0	0	0	0	0	0
72	13122	0	2119	766265.2487	4333847.763	1	0	5	59.73056352	0	0.75	11.35358297	58.33481969	36.558162	0	0	0.727272727	10.84498208	90.67885622	56.4489	0	0	0.706349206	10.91016709	129.9647427	81.799092	0	0	0.698717949	11.84298992	181.8993101	119.33352	0	0	9	13.378662	36.558162	56.4489	81.799092	119.33352	0	0	0	0	0	0	0	0
73	13123	0	2119	766269.1546	4333849.668	1	0	9	60.40231832	0	0.796296296	10.91804487	57.45372736	35.107398	0	0	0.706521739	10.85226885	95.39315757	59.09409	0	0	0.713178295	11.19108172	138.7592571	88.114824	0	0	0.708074534	11.99378721	192.6542176	126.31464	0	0	9	13.378662	35.107398	59.09409	88.114824	126.31464	0	0	0	0	0	0	0	0
74	13124	0	2119	766262.2599	4333852.914	1	0	7	53.78267292	0	0.788461538	10.43385761	51.61634427	30.875094	0	0	0.709677419	11.19955836	98.90378499	63.62091	0	0	0.714285714	11.24404604	143.7792519	91.70901	0	0	0.70718232	12.91493632	245.6155358	164.65626	0	0	9	13.378662	30.875094	63.62091	91.70901	164.65626	0	0	0	0	0	0	0	0
75	13125	0	2119	766266.1633	4333851.828	1	0	9	56.88880699	0	0.773584906	10.04893686	50.20883392	29.189808	0	0	0.723404255	11.2557314	101.1061034	64.951686	0	0	0.702290076	11.08950401	138.6545455	87.86394	0	0	0.717514124	12.79587681	235.4215037	158.062374	0	0	9	13.378662	29.189808	64.951686	87.86394	158.062374	0	0	0	0	0	0	0	0
76	13126	0	2119	766264.4744	4333853.747	1	0	11	54.34485226	0	0.807692308	9.992304731	48.67330484	28.317168	0	0	0.719101124	11.05603704	92.93561546	59.334066	0	0	0.69924812	11.04502065	139.812559	88.49115	0	0	0.71978022	13.00570458	249.7874582	167.90139	0	0	9	13.378662	28.317168	59.334066	88.49115	167.90139	0	0	0	0	0	0	0	0
77	13127	0	2119	766267.0001	4333854.03	1	0	11	55.6282925	0	0.811320755	9.980169016	49.55270908	28.791666	0	0	0.734042553	11.00676774	97.92298302	62.110152	0	0	0.7	11.12343334	138.3258098	87.72759	0	0	0.723163842	12.85226793	237.574517	159.458598	0	0	9	13.378662	28.791666	62.110152	87.72759	159.458598	0	0	0	0	0	0	0	0
78	13128	0	2119	766264.0668	4333856.691	1	0	7	51.73163276	0	0.82	8.481745103	37.08498612	19.618038	0	0	0.736263736	10.42134327	86.98161591	53.901882	0	0	0.696296296	11.14550233	144.2823304	91.46358	0	0	0.709677419	13.05777073	258.4948132	172.968156	0	0	9	13.378662	19.618038	53.901882	91.46358	172.968156	0	0	0	0	0	0	0	0
79	13129	0	2119	766267.0644	4333856.206	1	0	13	53.96759324	0	0.833333333	8.536414374	40.53647136	21.46149	0	0	0.744680851	10.48250823	91.18857123	56.334366	0	0	0.696969697	11.3210718	144.1101619	92.270772	0	0	0.726775956	13.10299678	254.2639211	171.359226	0	0	9	13.378662	21.46149	56.334366	92.270772	171.359226	0	0	0	0	0	0	0	0
