"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"	"NeighSDIAlt1"	"BSADead25NEW"	"BSADeadInd25NEW"	"BSADead5NEW"	"BSADeadInd5NEW"	"BSADead1NEW"	"BSADeadInd1NEW"	"BSADead15NEW"	"BSADeadInd15NEW"
7025	9594	0	2189	766028.931	4334395.577	2	0	6	2.514989662	1	0.760683761	9.781094587	99.28750927	55.309014	5.50854	1	0.702439024	10.05303397	183.4327475	104.176854	7.864668	1	0.681948424	10.15676497	179.480232	14.431284	1	0.616803279	10.4798468	447.4568937	259.96491	23.94306	1	1	0.441774	60.817554	112.041522	193.911516	283.90797	313.909057202503	5.50854	1	6.610248	1	13.176864	1	22.110516	1
7026	9595	0	2200	766033.9723	4334390.57	3	0	6	4.592605849	1	0.712328767	9.318241767	116.8623536	63.931788	5.50854	1	0.678431373	9.690893659	211.0035951	118.319076	12.293316	1	0.64764268	10.08843577	198.721944	19.683486	1	0.622018349	10.84914438	524.9703632	310.065354	30.002454	1	1	0.441774	69.440328	130.612392	218.40543	340.067808	348.092791248573	5.50854	1	11.038896	1	18.341802	1	28.16991	1
7027	9596	0	2195	766040.979	4334377.116	2	0	6	6.726258471	1	0.631284916	9.209678703	138.5205194	76.32873	6.959304	1	0.597864769	9.32018528	211.0918048	116.546526	13.896792	1	0.637096774	10.28409243	252.651096	28.039014	1	0.629449838	10.75098336	577.8971699	339.151536	38.717946	1	203	179.240256	83.288034	130.443318	280.69011	377.869482	438.084091575232	6.959304	1	13.318668	1	26.20647	1	35.303742	1
7028	9597	0	2199	766073.1418	4334328.06	3	0	15	32.31581449	1	0.693877551	15.60170002	90.81893601	61.068438	2.056158	1	0.778947368	14.55125872	161.3523941	106.24392	2.056158	1	0.743362832	13.69559703	213.807708	12.795084	1	0.695652174	13.38180135	459.1562744	295.928586	32.88762	1	203	179.240256	63.124596	108.300078	226.602792	328.816206	329.984157503455	0	0	0	0	5.503086	1	24.357564	1
7029	9598	0	2193	766075.2534	4334321.061	2	0	11	30.27878431	1	0.666666667	16.11343716	87.43037835	59.47587	2.056158	1	0.74025974	16.55621056	159.2886173	110.628936	2.056158	1	0.715909091	14.79885975	191.113614	13.215042	1	0.681355932	13.69943132	406.029242	264.08268	32.718546	1	203	179.240256	61.532028	112.685094	204.328656	296.801226	285.712954920457	0	0	0	0	8.350074	1	24.32484	1
7030	9599	0	2199	766072.5753	4334327.834	3	0	16	31.73484374	1	0.6875	15.75648015	90.49020032	60.932088	2.056158	1	0.774193548	14.54151146	157.7625995	103.795074	2.056158	1	0.728070175	13.63958495	212.062428	13.896792	1	0.682997118	13.36063706	456.3188947	294.019686	35.625528	1	203	179.240256	62.988246	105.851232	225.95922	329.645214	327.706923148135	0	0	0	0	6.604794	1	26.653698	1
7031	9600	0	2191	766056.1164	4334329.314	2	0	9	19.52602059	1	0.648148148	14.50265228	91.59839613	59.650398	1.205334	1	0.619047619	13.11757586	168.2131651	106.047576	9.200898	1	0.522058824	12.57960435	182.10906	47.602512	1	0.498823529	12.22988404	408.9317164	256.14711	80.713746	1	203	179.240256	60.855732	115.248474	229.711572	336.860856	288.838494641257	0	0	7.00839	1	42.802992	1	71.196516	1
7032	9601	0	2191	766048.9884	4334345.107	2	0	11	10.96728153	1	0.666666667	10.3241895	92.0771804	52.320222	6.119388	1	0.578947368	10.58562967	170.8501741	99.006462	12.745998	1	0.534526854	10.93066765	206.57025	37.98711	1	0.503649635	11.1394371	478.3007204	287.627598	77.403168	1	203	179.240256	58.43961	111.75246	244.55736	365.030766	346.51673863902	5.541264	1	12.167874	1	29.522502	1	66.576978	1
7033	9602	0	2191	766048.3051	4334346.247	2	0	8	9.76679975	1	0.614678899	10.2052618	95.42096228	53.961876	6.828408	1	0.578680203	10.56743387	175.4569555	101.711646	13.973148	1	0.524050633	10.78969163	203.81598	37.98711	1	0.498175182	11.06813125	474.2340232	283.957056	74.757978	1	203	179.240256	60.790284	115.684794	241.80309	358.715034	344.497813081305	6.250284	1	13.395024	1	30.067902	1	63.931788	1
7034	9603	0	2191	766048.3794	4334346.865	2	0	6	9.518774869	1	0.596330275	10.24695077	96.12592558	54.40365	6.828408	1	0.575	10.52000895	177.2508664	102.611556	13.973148	1	0.526184539	10.74289467	205.828506	37.98711	1	0.503663004	10.97372021	469.6494527	279.7902	71.949168	1	203	179.240256	61.232058	116.584704	243.815616	351.739368	348.556804370339	6.250284	1	13.395024	1	30.067902	1	61.122978	1
7035	9604	0	2191	766049.7514	4334348.546	2	0	8	10.14430794	1	0.589285714	10.26485981	99.4296978	56.318004	6.828408	1	0.595238095	10.40385618	183.1847112	105.67125	13.896792	1	0.545679012	10.74011864	212.013342	35.156484	1	0.539305302	11.15335336	501.0107581	300.559032	57.217914	1	203	179.240256	63.146412	119.568042	247.169826	357.776946	358.741624107387	6.250284	1	13.318668	1	27.346356	1	47.96793	1
7036	9605	0	2191	766054.0273	4334347.317	2	0	15	14.5932275	1	0.715686275	10.63161559	103.125933	59.181354	2.727	1	0.658031088	10.73000224	186.3470755	108.632772	9.664488	1	0.595800525	11.12433274	216.654696	31.158702	1	0.575471698	11.41530074	515.7936461	312.710544	49.65867	1	203	179.240256	61.908354	118.29726	247.813398	362.369214	360.91254431527	2.59065	1	9.086364	1	23.15223	1	40.408686	1
7037	9606	0	2199	766067.3652	4334341.165	3	0	9	29.2027738	1	0.924242424	11.78329979	82.12902512	49.22235	0.441774	1	0.80794702	12.38679233	191.191655	117.991836	7.155648	1	0.715753425	12.53026077	230.34969	13.60773	1	0.674208145	12.75442111	541.0331834	344.245572	31.164156	1	203	179.240256	49.664124	125.147484	243.95742	375.409728	369.103560955156	0	0	0	0	5.737608	1	23.294034	1
7038	9608	0	2199	766068.7031	4334340.398	3	0	13	30.72586666	1	0.907692308	12.18638324	84.08541164	51.027624	0.987174	1	0.816993464	12.46309237	196.1554957	121.144248	7.155648	1	0.717314488	12.70060406	230.496948	12.713274	1	0.681395349	12.94360236	544.3026302	347.223456	27.70632	1	203	179.240256	52.014798	128.299896	243.210222	374.929776	367.606504111257	0	0	0	0	4.843152	1	19.836198	1
7039	9607	0	2199	766068.395	4334341.254	3	0	14	30.1389259	1	0.924242424	11.78329979	82.12902512	49.22235	0.441774	1	0.816993464	12.43556821	195.427411	120.609756	7.155648	1	0.715277778	12.68635523	233.491194	13.06233	1	0.682432432	12.86348439	552.1672955	351.962982	31.016898	1	203	179.240256	49.664124	127.765404	246.553524	382.97988	372.51680652601	0	0	0	0	5.192208	1	23.146776	1
7040	9609	0	2199	766070.3469	4334342.728	3	0	12	31.54525552	1	0.871428571	11.71586695	81.31976169	48.660588	3.310578	1	0.835616438	12.21558792	181.4005242	110.683476	7.155648	1	0.743859649	12.72304758	234.843786	12.031524	1	0.701943844	12.96073051	589.4231158	376.54416	29.69703	1	203	179.240256	51.971166	117.839124	246.87531	406.24119	374.591090489546	0	0	0	0	4.297752	1	21.826908	1
7041	9610	0	2204	766132.0602	4334322.238	3	0	14	9.632284322	1	0.342857143	14.1561489	98.64030388	63.391842	21.908718	1	0.386861314	14.87131344	197.4829401	131.474124	42.02307	1	0.428082192	15.1978184	287.218548	76.154202	1	0.507246377	14.88398913	601.1157243	401.136246	100.179072	1	178	168.69222	85.30056	173.497194	363.37275	501.315318	426.769915716921	8.655498	1	17.365536	1	33.694812	1	55.707156	1
7042	9612	0	2211	766140.1695	4334344.265	3	0	16	12.05186031	1	0.322916667	13.44274217	128.4835312	80.817372	11.251602	1	0.454081633	13.78297552	275.6360576	175.10067	30.264246	1	0.506963788	13.39114659	278.737578	68.845842	1	0.521212121	13.59031162	601.1208461	381.78	110.836188	1	178	168.69222	92.068974	205.364916	347.58342	492.616188	443.255564906195	3.801438	1	14.011326	1	48.67695	1	79.339338	1
